Level 1,Level 2,Level 3,Level 4,Full URL,Page Name,Writer,Status,Priority,Research Summary,Writer Brief Link,AI Brief Link,Target Keywords,Volume,Phase,Notes
,,,Standings,https://www.topendsports.com/sport/betting/mlb/standings.htm,MLB Standings & Playoff Race,Tom Goldsmith,Not Started,Medium,,,,mlb standings,13000,PHASE 1,QUICK WIN - Covers 13K traffic
,,,Weather,https://www.topendsports.com/sport/betting/mlb/weather.htm,MLB Weather Report for Betting,Lewis Humphries,Not Started,Critical,,,,mlb weather,64000,PHASE 2,"COMPETITOR GAP - Covers 30K traffic, FREE API available"
,,,Injuries,https://www.topendsports.com/sport/betting/mlb/injuries.htm,MLB Injury Report,Tom Goldsmith,Not Started,Medium,,,,mlb injury report,4200,PHASE 2,COMPETITOR GAP
,,,Trends,https://www.topendsports.com/sport/betting/mlb/trends.htm,MLB Betting Trends,Tom Goldsmith,Not Started,Medium,,,,mlb betting trends,2100,PHASE 2,COMPETITOR GAP - Covers 6.7K traffic
,,,Public Betting,https://www.topendsports.com/sport/betting/mlb/public-betting.htm,MLB Public Betting Percentages,Tom Goldsmith,Not Started,Medium,,,,mlb public betting,2600,PHASE 2,COMPETITOR GAP - Action Network 2.8K
,,,Consensus,https://www.topendsports.com/sport/betting/mlb/consensus.htm,MLB Consensus Picks,Tom Goldsmith,Not Started,Medium,,,,mlb consensus,2200,PHASE 2,COMPETITOR GAP - Covers 11K traffic
,,Props,,https://www.topendsports.com/sport/betting/mlb/props/index.htm,Best MLB Prop Betting Sites,Tom Goldsmith,Not Started,Medium,,,,mlb prop bets,800,PHASE 1,
,,,NRFI YRFI,https://www.topendsports.com/sport/betting/mlb/props/nrfi-yrfi.htm,NRFI YRFI Betting Guide & Picks,Lewis Humphries,Not Started,High,,,,"nrfi today, nrfi yrfi",5100,PHASE 2,COMPETITOR GAP - BettingPros 3.9K + 3K traffic
,,,Home Runs,https://www.topendsports.com/sport/betting/mlb/props/home-runs.htm,MLB Home Run Props Guide,Tom Goldsmith,Not Started,Medium,,,,home run predictions today,13000,PHASE 2,COMPETITOR GAP - Covers 5.3K traffic
,,,Strikeouts,https://www.topendsports.com/sport/betting/mlb/props/strikeouts.htm,MLB Strikeout Props,Tom Goldsmith,Not Started,Low,,,,strikeout props,700,PHASE 2,COMPETITOR GAP - BettingPros 572 traffic
,,Futures,,https://www.topendsports.com/sport/betting/mlb/futures/world-series-odds.htm,World Series Odds & Betting Sites,Tom Goldsmith,Not Started,Medium,,,,world series odds,11000,PHASE 1,Seasonal - 11K volume
,,Odds & Picks,,https://www.topendsports.com/sport/betting/mlb/odds.htm,MLB Odds Today,Tom Goldsmith,Not Started,Medium,,,,mlb odds today,23000,PHASE 2,Phase 2 - 23K volume
,NHL Betting,,,https://www.topendsports.com/sport/betting/nhl/index.htm,Best NHL Betting Sites 2025,Tom Goldsmith,Not Started,Medium,,,,best nhl betting sites,300,PHASE 1,Month 2
,,Guides,,https://www.topendsports.com/sport/betting/nhl/how-to-bet-nhl.htm,How to Bet on NHL Hockey,Tom Goldsmith,Not Started,Medium,,,,how to bet on nhl,500,PHASE 1,
,,,Puck Line,https://www.topendsports.com/sport/betting/nhl/puck-line.htm,NHL Puck Line Betting Guide,Tom Goldsmith,Not Started,Medium,,,,nhl puck line,1100,PHASE 1,
,,Matchups & Data,,https://www.topendsports.com/sport/betting/nhl/matchups.htm,NHL Daily Matchups & Scores,Lewis Humphries,Not Started,High,,,,"nhl matchups, covers nhl",110000,PHASE 2,COMPETITOR GAP - Covers 110K traffic
,,,Standings,https://www.topendsports.com/sport/betting/nhl/standings.htm,NHL Standings & Playoff Race,Tom Goldsmith,Not Started,Low,,,,nhl standings,6400,PHASE 1,QUICK WIN
,,Futures,,https://www.topendsports.com/sport/betting/nhl/futures/stanley-cup-odds.htm,Stanley Cup Odds & Betting Sites,Tom Goldsmith,Not Started,Medium,,,,stanley cup odds,4200,PHASE 1,Seasonal
,NCAAF Betting,,,https://www.topendsports.com/sport/betting/ncaaf/index.htm,Best College Football Betting Sites,Lewis Humphries,Not Started,High,,,,best college football betting sites,1700,PHASE 1,Week 3 - 1.7K volume
,,Guides,,https://www.topendsports.com/sport/betting/ncaaf/how-to-bet-ncaaf.htm,How to Bet on College Football,Lewis Humphries,Not Started,High,,,,how to bet on college football,600,PHASE 1,
,,Rankings,,https://www.topendsports.com/sport/betting/ncaaf/top-25-betting.htm,Best Sites for Top 25 Betting,Lewis Humphries,Not Started,High,,,,college football top 25 betting,350,PHASE 1,
,,Matchups & Data,,https://www.topendsports.com/sport/betting/ncaaf/matchups.htm,College Football Daily Matchups,Lewis Humphries,Not Started,Critical,,,,"ncaaf matchups, covers ncaaf",37000,PHASE 2,COMPETITOR GAP - Covers 37K traffic
,,,Standings,https://www.topendsports.com/sport/betting/ncaaf/standings.htm,College Football Rankings & Standings,Tom Goldsmith,Not Started,Low,,,,college football standings,4800,PHASE 1,QUICK WIN
,,,Injuries,https://www.topendsports.com/sport/betting/ncaaf/injuries.htm,College Football Injury Report,Lewis Humphries,Not Started,High,,,,college football injury report,5300,PHASE 2,COMPETITOR GAP - Covers 10K traffic
,,,Weather,https://www.topendsports.com/sport/betting/ncaaf/weather.htm,College Football Weather Report,Tom Goldsmith,Not Started,Medium,,,,college football weather,3300,PHASE 2,"COMPETITOR GAP - Covers 3.6K traffic, FREE API"
,,,Public Betting,https://www.topendsports.com/sport/betting/ncaaf/public-betting.htm,NCAAF Public Betting Percentages,Tom Goldsmith,Not Started,Low,,,,ncaaf public betting,1600,PHASE 2,COMPETITOR GAP - Action Network 3.1K
,,Against the Spread,,https://www.topendsports.com/sport/betting/ncaaf/ats/week-1.htm,College Football ATS Picks Week 1,Tom Goldsmith,Not Started,Medium,,,,college football ats picks,11000,PHASE 2,"COMPETITOR GAP - Covers 3.7K, build pattern for weeks 1-15"
,,Bowl Games,,https://www.topendsports.com/sport/betting/ncaaf/bowl-games.htm,Bowl Games Betting Guide & Sites,Lewis Humphries,Not Started,High,,,,bowl games betting,2100,PHASE 1,Seasonal - December
,,Playoffs,,https://www.topendsports.com/sport/betting/ncaaf/playoffs.htm,College Football Playoff Betting,Lewis Humphries,Not Started,High,,,,college football playoff betting,1800,PHASE 1,Seasonal - December
,,Futures,,https://www.topendsports.com/sport/betting/ncaaf/futures/championship.htm,CFP Championship Betting Sites,Lewis Humphries,Not Started,High,,,,college football championship odds,3400,PHASE 1,Seasonal
,,,Heisman,https://www.topendsports.com/sport/betting/ncaaf/futures/heisman.htm,Heisman Trophy Betting Sites,Tom Goldsmith,Not Started,Medium,,,,heisman trophy odds,2900,PHASE 1,Seasonal
,NCAAB Betting,,,https://www.topendsports.com/sport/betting/ncaab/index.htm,Best College Basketball Betting Sites,Tom Goldsmith,Not Started,Medium,,,,best college basketball betting sites,400,PHASE 1,Month 2
,,March Madness,,https://www.topendsports.com/sport/betting/events/march-madness-2025/index.htm,Best March Madness Betting Sites,Lewis Humphries,Not Started,Critical,,,,best march madness betting sites,1500,PHASE 1,Week 3 - BUILD BY JANUARY
,,,Bracket Guide,https://www.topendsports.com/sport/betting/events/march-madness-2025/bracket-guide.htm,March Madness Bracket Betting Guide,Lewis Humphries,Not Started,Critical,,,,march madness bracket,387000,PHASE 1,"Week 3 - MASSIVE 387K volume, 1.9M traffic potential"
,,,Betting Guide,https://www.topendsports.com/sport/betting/events/march-madness-2025/how-to-bet.htm,How to Bet March Madness,Lewis Humphries,Not Started,Critical,,,,march madness betting,1500,PHASE 1,Week 3
,,,Bracket Strategy,https://www.topendsports.com/sport/betting/events/march-madness-2025/bracket-strategy.htm,March Madness Bracket Strategy,Lewis Humphries,Not Started,Critical,,,,march madness bracket strategy,850,PHASE 1,Week 3
,,,First Round,https://www.topendsports.com/sport/betting/events/march-madness-2025/first-round.htm,First Round Betting Guide,Lewis Humphries,Not Started,High,,,,march madness first round,700,PHASE 1,
,,,Sweet 16,https://www.topendsports.com/sport/betting/events/march-madness-2025/sweet-16.htm,Sweet 16 Betting Sites,Lewis Humphries,Not Started,High,,,,sweet 16 betting,1200,PHASE 1,
,,,Elite 8,https://www.topendsports.com/sport/betting/events/march-madness-2025/elite-8.htm,Elite 8 Betting Guide,Lewis Humphries,Not Started,High,,,,elite 8 betting,900,PHASE 1,
,,,Final Four,https://www.topendsports.com/sport/betting/events/march-madness-2025/final-four.htm,Final Four Betting Sites,Lewis Humphries,Not Started,Critical,,,,final four betting,3100,PHASE 1,
,,,Championship,https://www.topendsports.com/sport/betting/events/march-madness-2025/championship.htm,Championship Game Betting,Lewis Humphries,Not Started,Critical,,,,ncaa championship betting,1800,PHASE 1,
,UFC Betting,,,https://www.topendsports.com/sport/betting/ufc/index.htm,Best UFC Betting Sites 2025,Tom Goldsmith,Not Started,Low,,,,best ufc betting sites,600,PHASE 1,Month 2
,,Guides,,https://www.topendsports.com/sport/betting/ufc/how-to-bet-ufc.htm,How to Bet on UFC Fights,Tom Goldsmith,Not Started,Low,,,,how to bet on ufc,450,PHASE 1,
,Soccer Betting,,,https://www.topendsports.com/sport/betting/soccer/index.htm,Best Soccer Betting Sites 2025,Tom Goldsmith,Not Started,Low,,,,best soccer betting sites,800,PHASE 1,Month 2
,,Premier League,,https://www.topendsports.com/sport/betting/soccer/premier-league.htm,Best Premier League Betting Sites,Tom Goldsmith,Not Started,Low,,,,premier league betting sites,1100,PHASE 1,
,,World Cup,,https://www.topendsports.com/sport/betting/soccer/world-cup-2026.htm,World Cup 2026 Betting Sites,Tom Goldsmith,Not Started,Low,,,,world cup betting sites,3500,FUTURE,2026 only
,Special Events,,,https://www.topendsports.com/sport/betting/events/index.htm,Major Sports Betting Events,Lewis Humphries,Not Started,High,,,,sports betting events,300,PHASE 1,Hub page
,,Super Bowl 2025,,https://www.topendsports.com/sport/betting/events/super-bowl-2025/index.htm,Best Super Bowl Betting Sites,Lewis Humphries,Not Started,Critical,,,,best super bowl betting sites,900,PHASE 1,Week 3 - BUILD BY DECEMBER
,,,How To,https://www.topendsports.com/sport/betting/events/super-bowl-2025/how-to-bet.htm,How to Bet on Super Bowl,Lewis Humphries,Not Started,Critical,,,,super bowl betting,1500,PHASE 1,"Week 3 - 1.5K volume, 101K traffic potential"
,,,Props,https://www.topendsports.com/sport/betting/events/super-bowl-2025/prop-bets.htm,Super Bowl Prop Bets Guide,Lewis Humphries,Not Started,Critical,,,,super bowl prop bets,4800,PHASE 1,Week 3
,,,Squares,https://www.topendsports.com/sport/betting/events/super-bowl-2025/squares.htm,Super Bowl Squares Guide,Lewis Humphries,Not Started,High,,,,super bowl squares,8200,PHASE 1,
,,,Odds,https://www.topendsports.com/sport/betting/events/super-bowl-2025/odds.htm,Super Bowl Odds 2025,Lewis Humphries,Not Started,Critical,,,,super bowl odds,34000,PHASE 2,"Phase 2 - 34K volume, 102K traffic potential"
,Betting Guides,,,https://www.topendsports.com/sport/betting/guides/index.htm,Complete Betting Guide Hub,Lewis Humphries,Not Started,High,,,,sports betting guide,600,PHASE 1,Week 4
,,Basics,,https://www.topendsports.com/sport/betting/guides/how-to-bet.htm,How to Bet on Sports Online,Lewis Humphries,Not Started,Critical,,,,how to bet on sports,2000,PHASE 1,Week 4
,,,101,https://www.topendsports.com/sport/betting/guides/sports-betting-101.htm,Sports Betting 101 for Beginners,Lewis Humphries,Not Started,High,,,,sports betting for beginners,250,PHASE 1,
,,,Reading Odds,https://www.topendsports.com/sport/betting/guides/reading-odds.htm,How to Read Betting Odds,Lewis Humphries,Not Started,Critical,,,,how to read odds,1900,PHASE 1,Week 4 - 1.9K volume
,,,Glossary,https://www.topendsports.com/sport/betting/guides/betting-glossary.htm,Sports Betting Terms & Glossary,Lewis Humphries,Not Started,High,,,,sports betting terms,1400,PHASE 1,
,,,First Bet,https://www.topendsports.com/sport/betting/guides/first-bet.htm,How to Place Your First Bet,Tom Goldsmith,Not Started,Medium,,,,how to place a bet,500,PHASE 1,
,,Bet Types,,https://www.topendsports.com/sport/betting/guides/bet-types/index.htm,Types of Sports Bets Explained,Lewis Humphries,Not Started,High,,,,types of sports bets,600,PHASE 1,
,,,Moneyline,https://www.topendsports.com/sport/betting/guides/moneyline.htm,Moneyline Betting Explained,Lewis Humphries,Not Started,Critical,,,,moneyline,11000,PHASE 1,"Week 4 - CHANGED to parent topic, 11K volume"
,,,Spread,https://www.topendsports.com/sport/betting/guides/spread-betting.htm,Point Spread Betting Explained,Lewis Humphries,Not Started,Critical,,,,spread betting,5300,PHASE 1,Week 4 - 5.3K volume
,,,Totals,https://www.topendsports.com/sport/betting/guides/over-under.htm,Over/Under Betting Explained,Lewis Humphries,Not Started,Critical,,,,over under,13000,PHASE 1,"Week 4 - CHANGED to parent topic, 13K volume"
,,,Parlays,https://www.topendsports.com/sport/betting/guides/parlay.htm,Parlay Betting Guide & Strategy,Lewis Humphries,Not Started,Critical,,,,parlay,90000,PHASE 1,"Week 4 - CHANGED to parent topic, 90K volume!"
,,,Teasers,https://www.topendsports.com/sport/betting/guides/teaser-betting.htm,Teaser Betting Explained,Tom Goldsmith,Not Started,Medium,,,,teaser betting,,PHASE 1,
,,,Props,https://www.topendsports.com/sport/betting/guides/prop-bets.htm,Prop Betting Guide & Best Sites,Lewis Humphries,Not Started,High,,,,prop bets,5200,PHASE 1,"CHANGED to parent topic, 5.2K volume"
,,,Futures,https://www.topendsports.com/sport/betting/guides/futures-betting.htm,Futures Betting Explained,Tom Goldsmith,Not Started,Medium,,,,futures betting,200,PHASE 1,
,,,Live,https://www.topendsports.com/sport/betting/guides/live-betting.htm,Live Betting Guide & Strategy,Tom Goldsmith,Not Started,Medium,,,,live betting guide,,PHASE 1,
,,,SGP,https://www.topendsports.com/sport/betting/guides/same-game-parlay.htm,Same Game Parlay Explained,Lewis Humphries,Not Started,High,,,,same game parlay,1700,PHASE 1,Trending - 1.7K volume
,,,Round Robin,https://www.topendsports.com/sport/betting/guides/round-robin.htm,Round Robin Betting Explained,Tom Goldsmith,Not Started,Low,,,,round robin betting,,PHASE 1,
,,Strategy,,https://www.topendsports.com/sport/betting/strategy/index.htm,Sports Betting Strategy Guide,Lewis Humphries,Not Started,Medium,,,,sports betting strategy,,PHASE 1,
,,,Bankroll,https://www.topendsports.com/sport/betting/strategy/bankroll-management.htm,Bankroll Management Guide,Lewis Humphries,Not Started,High,,,,bankroll management,600,PHASE 1,
,,,Value,https://www.topendsports.com/sport/betting/strategy/value-betting.htm,Finding Value Bets Strategy,Tom Goldsmith,Not Started,Medium,,,,value betting,300,PHASE 1,
,,,Line Shopping,https://www.topendsports.com/sport/betting/strategy/line-shopping.htm,Line Shopping Guide & Tools,Lewis Humphries,Not Started,High,,,,line shopping,450,PHASE 1,
,,,Units,https://www.topendsports.com/sport/betting/strategy/unit-betting.htm,Unit Betting System Explained,Tom Goldsmith,Not Started,Medium,,,,unit betting system,350,PHASE 1,
,,,Hedging,https://www.topendsports.com/sport/betting/strategy/hedging-bets.htm,How to Hedge Bets,Tom Goldsmith,Not Started,Low,,,,hedging bets,600,PHASE 1,
,,,Arbitrage,https://www.topendsports.com/sport/betting/strategy/arbitrage-betting.htm,Arbitrage Betting Guide,Tom Goldsmith,Not Started,Low,,,,arbitrage betting,450,PHASE 1,
,Betting Tools,,,https://www.topendsports.com/sport/betting-tools/index.htm,Sports Betting Calculators Hub,N/A,Published,Complete,,,,betting calculators,1200,,Already published - 30+ tools
,,Parlay Calculator,,https://www.topendsports.com/sport/betting-tools/parlay-calculator.htm,Parlay Calculator,N/A,Published,Complete,,,,parlay calculator,56000,,HUGE 56K volume - link to betting pages
,,30+ other tools,,Various URLs,30+ Published Calculators,N/A,Published,Complete,,,,Various calculator keywords,5000,,Ensure all link to betting pages
,Consensus & Public Data,,,https://www.topendsports.com/sport/betting/consensus/index.htm,Consensus Picks - All Sports,Tom Goldsmith,Not Started,Medium,,,,consensus picks,1300,PHASE 2,COMPETITOR GAP - Covers 4.7K traffic
,,NFL Consensus,,https://www.topendsports.com/sport/betting/consensus/nfl.htm,NFL Consensus Picks Today,Tom Goldsmith,Not Started,Medium,,,,nfl consensus,3500,PHASE 2,COMPETITOR GAP - Covers 4.5K
,,NBA Consensus,,https://www.topendsports.com/sport/betting/consensus/nba.htm,NBA Consensus Picks Today,Tom Goldsmith,Not Started,Low,,,,nba consensus,1200,PHASE 2,COMPETITOR GAP
,,MLB Consensus,,https://www.topendsports.com/sport/betting/consensus/mlb.htm,MLB Consensus Picks Today,Tom Goldsmith,Not Started,Medium,,,,mlb consensus,2200,PHASE 2,COMPETITOR GAP - Covers 11K
,,Public Betting Hub,,https://www.topendsports.com/sport/betting/public-betting.htm,Public Betting Percentages - All Sports,Tom Goldsmith,Not Started,Medium,,,,public betting percentages,4100,PHASE 2,COMPETITOR GAP - Action Network 10K traffic
,Legal States,,,https://www.topendsports.com/sport/betting/legal-states/index.htm,Legal Sports Betting States 2025,Tom Goldsmith,Not Started,Medium,,,,legal sports betting states,500,PHASE 1,Month 2
,,New York,,https://www.topendsports.com/sport/betting/legal-states/new-york.htm,Best NY Sports Betting Apps,Lewis Humphries,Not Started,High,,,,best ny betting apps,70,PHASE 1,Month 2
,,New Jersey,,https://www.topendsports.com/sport/betting/legal-states/new-jersey.htm,Best NJ Betting Apps 2025,Lewis Humphries,Not Started,High,,,,best nj betting apps,20,PHASE 1,Month 2
,,Pennsylvania,,https://www.topendsports.com/sport/betting/legal-states/pennsylvania.htm,Best PA Sports Betting Apps,Lewis Humphries,Not Started,High,,,,best pa betting apps,30,PHASE 1,Month 2
,,Illinois,,https://www.topendsports.com/sport/betting/legal-states/illinois.htm,Best Illinois Betting Apps,Tom Goldsmith,Not Started,Medium,,,,illinois betting apps,40,PHASE 1,Month 2
,,Ohio,,https://www.topendsports.com/sport/betting/legal-states/ohio.htm,Best Ohio Betting Apps,Tom Goldsmith,Not Started,Medium,,,,ohio betting apps,50,PHASE 1,Month 2
,,Michigan,,https://www.topendsports.com/sport/betting/legal-states/michigan.htm,Best Michigan Betting Apps,Tom Goldsmith,Not Started,Medium,,,,michigan betting apps,35,PHASE 1,Month 2
,,Massachusetts,,https://www.topendsports.com/sport/betting/legal-states/massachusetts.htm,Best MA Betting Apps,Tom Goldsmith,Not Started,Medium,,,,massachusetts betting apps,30,PHASE 1,Month 2
,,Arizona,,https://www.topendsports.com/sport/betting/legal-states/arizona.htm,Best Arizona Betting Apps,Tom Goldsmith,Not Started,Low,,,,arizona betting apps,25,PHASE 1,Month 2
,,Colorado,,https://www.topendsports.com/sport/betting/legal-states/colorado.htm,Best Colorado Betting Apps,Tom Goldsmith,Not Started,Low,,,,colorado betting apps,25,PHASE 1,Month 2
,Daily Content,,,https://www.topendsports.com/sport/betting/today/index.htm,Best Bets Today Hub,Lewis Humphries,Not Started,High,,,,best bets today,1200,PHASE 2,Phase 2 hub
,,Picks,,https://www.topendsports.com/sport/betting/today/expert-picks.htm,Today's Expert Picks,Lewis Humphries,Not Started,High,,,,expert picks today,2800,PHASE 2,Phase 2
,,Odds,,https://www.topendsports.com/sport/betting/today/odds.htm,Today's Betting Odds,Lewis Humphries,Not Started,High,,,,betting odds today,3500,PHASE 2,Phase 2
,,Live Scores,,https://www.topendsports.com/sport/betting/scores.htm,Live Scores & Odds,Tom Goldsmith,Not Started,Medium,,,,live scores,12000,PHASE 2,Phase 2
,Legal About,,,https://www.topendsports.com/sport/betting/responsible-gambling.htm,Responsible Gambling,N/A,Not Started,Required,,,,responsible gambling,800,PHASE 1,Required compliance page
,,,,https://www.topendsports.com/sport/betting/about.htm,About Our Ratings,N/A,Not Started,Low,,,,about us,50,PHASE 1,
,,,,https://www.topendsports.com/sport/betting/contact.htm,Contact Us,N/A,Not Started,Low,,,,contact,100,PHASE 1,
UK Betting,,,https://www.topendsports.com/sport/betting/uk/index.htm,Best Betting Sites UK,Lewis Humphries,Not Started,Critical,,,,best betting sites uk,3200,PHASE 1,UK Market Hub - Ahrefs researched,
,Comparison Pages,,https://www.topendsports.com/sport/betting/uk/betting-apps.htm,Best Betting Apps UK,Lewis Humphries,Not Started,High,,,,best betting apps uk,450,PHASE 1,UK Market,
,,New Sites,https://www.topendsports.com/sport/betting/uk/new-betting-sites.htm,New Betting Sites UK,Lewis Humphries,Not Started,High,,,,new betting sites uk,1800,PHASE 1,UK Market - Separate parent topic confirmed,
,,Free Bets,https://www.topendsports.com/sport/betting/uk/free-bets.htm,Free Bets UK,Lewis Humphries,Not Started,Critical,,,,free bets uk,1600,PHASE 1,UK Market - High volume,
,,Betting Offers,https://www.topendsports.com/sport/betting/uk/betting-offers.htm,Betting Offers UK,Lewis Humphries,Not Started,High,,,,new customer betting offers,1200,PHASE 1,UK Market - 37K traffic potential,
,,Football Betting,https://www.topendsports.com/sport/betting/uk/football-betting-sites.htm,Football Betting Sites UK,Tom Goldsmith,Not Started,High,,,,football betting sites,3100,PHASE 1,UK Market,
,,Horse Racing,https://www.topendsports.com/sport/betting/uk/horse-racing-betting.htm,Horse Racing Betting Sites,Tom Goldsmith,Not Started,Medium,,,,horse racing betting sites,2200,PHASE 1,UK Market,
,Sportsbook Reviews,,https://www.topendsports.com/sport/betting/uk/bet442-review.htm,Bet442 Sport Review,Lewis Humphries,Not Started,Critical,,,,bet442 sport,,PHASE 1,UK Brand #1,
,,LuckyMate,https://www.topendsports.com/sport/betting/uk/luckymate-review.htm,LuckyMate Sport Review,Lewis Humphries,Not Started,Critical,,,,luckymate sport,,PHASE 1,UK Brand #2,
,,NRGbet,https://www.topendsports.com/sport/betting/uk/nrgbet-review.htm,NRGbet Sports Review,Lewis Humphries,Not Started,High,,,,nrgbet sports,,PHASE 1,UK Brand #3,
,,Myriadplay,https://www.topendsports.com/sport/betting/uk/myriadplay-review.htm,Myriadplay Sport Review,Tom Goldsmith,Not Started,High,,,,myriadplay sport,,PHASE 1,UK Brand #4,
,,7Bet,https://www.topendsports.com/sport/betting/uk/7bet-review.htm,7Bet Sport Review,Tom Goldsmith,Not Started,High,,,,7bet sport,,PHASE 1,UK Brand #5,
,,7Bet Promo,https://www.topendsports.com/sport/betting/uk/7bet-promo-code.htm,7Bet Promo Code,Tom Goldsmith,Not Started,High,,,,7bet promo code,200,PHASE 1,UK Brand #5 Promo - 200 volume,
,,Mr Luck,https://www.topendsports.com/sport/betting/uk/mrluck-review.htm,Mr Luck Sport Review,Tom Goldsmith,Not Started,Medium,,,,mr luck sport,,PHASE 1,UK Brand #6,
,,MogoBet,https://www.topendsports.com/sport/betting/uk/mogobet-review.htm,MogoBet Sport Review,Tom Goldsmith,Not Started,Medium,,,,mogobet sport,,PHASE 1,UK Brand #7,
,,Highbet,https://www.topendsports.com/sport/betting/uk/highbet-review.htm,Highbet Sport Review,Tom Goldsmith,Not Started,Low,,,,highbet sport,,PHASE 1,UK Brand #8,
,,Highbet Promo,https://www.topendsports.com/sport/betting/uk/highbet-promo-code.htm,Highbet Promo Code,Tom Goldsmith,Not Started,Low,,,,highbet promo code,150,PHASE 1,UK Brand #8 Promo - 150 volume,
,,22bet,https://www.topendsports.com/sport/betting/uk/22bet-review.htm,22bet Sport Review,Tom Goldsmith,Not Started,Medium,,,,22bet uk,,PHASE 1,UK Brand - Also in IE,
,,22bet Promo,https://www.topendsports.com/sport/betting/uk/22bet-promo-code.htm,22bet Promo Code,Tom Goldsmith,Not Started,Medium,,,,22bet promo code,300,PHASE 1,UK Brand Promo - 300 volume,
Ireland Betting,,,https://www.topendsports.com/sport/betting/ireland/index.htm,Best Betting Sites Ireland,Lewis Humphries,Not Started,Critical,,,,best betting sites ireland,450,PHASE 1,Ireland Market Hub - Ahrefs researched,
,Comparison Pages,,https://www.topendsports.com/sport/betting/ireland/betting-apps.htm,Best Betting Apps Ireland,Lewis Humphries,Not Started,High,,,,best betting apps ireland,150,PHASE 1,Ireland Market,
,,Free Bets,https://www.topendsports.com/sport/betting/ireland/free-bets.htm,Free Bets Ireland,Lewis Humphries,Not Started,High,,,,free bets ireland,150,PHASE 1,Ireland Market,
,Sportsbook Reviews,,https://www.topendsports.com/sport/betting/ireland/lunubet-review.htm,Lunubet Sport Review,Lewis Humphries,Not Started,Critical,,,,lunubet sport,,PHASE 1,Ireland Brand #1,
,,Betalright,https://www.topendsports.com/sport/betting/ireland/betalright-review.htm,Betalright Sports Review,Lewis Humphries,Not Started,Critical,,,,betalright sports,,PHASE 1,Ireland Brand #2,
,,Casina,https://www.topendsports.com/sport/betting/ireland/casina-review.htm,Casina Sport Review,Lewis Humphries,Not Started,High,,,,casina sport,,PHASE 1,Ireland Brand #3,
,,Festival Play,https://www.topendsports.com/sport/betting/ireland/festivalplay-review.htm,Festival Play Sport Review,Tom Goldsmith,Not Started,High,,,,festival play sport,,PHASE 1,Ireland Brand #4,
,,Millioner,https://www.topendsports.com/sport/betting/ireland/millioner-review.htm,Millioner Sport Review,Tom Goldsmith,Not Started,High,,,,millioner sport,,PHASE 1,Ireland Brand #5,
,,Betovo,https://www.topendsports.com/sport/betting/ireland/betovo-review.htm,Betovo Sport Review,Tom Goldsmith,Not Started,Medium,,,,betovo sport,,PHASE 1,Ireland Brand #6,
,,22bet,https://www.topendsports.com/sport/betting/ireland/22bet-review.htm,22bet Sport Review,Tom Goldsmith,Not Started,Medium,,,,22bet ireland,,PHASE 1,Ireland Brand #7,
,,Big Clash,https://www.topendsports.com/sport/betting/ireland/bigclash-review.htm,Big Clash Sport Review,Tom Goldsmith,Not Started,Medium,,,,big clash sport,,PHASE 1,Ireland Brand #8,
,,Rabona,https://www.topendsports.com/sport/betting/ireland/rabona-review.htm,Rabona Sports Review,Tom Goldsmith,Not Started,Low,,,,rabona sports,,PHASE 1,Ireland Brand #9,
,,Wonder Luck,https://www.topendsports.com/sport/betting/ireland/wonderluck-review.htm,Wonder Luck Sport Review,Tom Goldsmith,Not Started,Low,,,,wonder luck sport,,PHASE 1,Ireland Brand #10,
Canada Betting,,,https://www.topendsports.com/sport/betting/canada/index.htm,Best Sports Betting Sites Canada,Lewis Humphries,Not Started,Critical,,,,sports betting canada,2400,PHASE 1,Canada Market Hub - Ahrefs researched (Non-Ontario),
,Comparison Pages,,https://www.topendsports.com/sport/betting/canada/betting-apps.htm,Best Sports Betting Apps Canada,Lewis Humphries,Not Started,High,,,,betting apps canada,600,PHASE 1,Canada Market,
,,New Sites,https://www.topendsports.com/sport/betting/canada/new-betting-sites.htm,New Betting Sites Canada,Tom Goldsmith,Not Started,Medium,,,,new betting sites canada,200,PHASE 1,Canada Market,
,Sportsbook Reviews,,https://www.topendsports.com/sport/betting/canada/treasurespins-review.htm,Treasure Spins Sport Review,Lewis Humphries,Not Started,Critical,,,,treasure spins sport,,PHASE 1,Canada Brand #1 - Sports verified,
,,Royalistplay,https://www.topendsports.com/sport/betting/canada/royalistplay-review.htm,Royalistplay Sport Review,Lewis Humphries,Not Started,Critical,,,,royalistplay sport,,PHASE 1,Canada Brand #2 - Sports verified,
,,Wyns,https://www.topendsports.com/sport/betting/canada/wyns-review.htm,Wyns Sport Review,Lewis Humphries,Not Started,High,,,,wyns sport,,PHASE 1,Canada Brand #3 - Sports verified,
,,Lucky7even,https://www.topendsports.com/sport/betting/canada/lucky7even-review.htm,Lucky7even Sport Review,Tom Goldsmith,Not Started,High,,,,lucky7even sport,,PHASE 1,Canada Brand #4 - Sports status unclear,
,,Festival Play,https://www.topendsports.com/sport/betting/canada/festivalplay-review.htm,Festival Play Sport Review,Tom Goldsmith,Not Started,High,,,,festival play sport,,PHASE 1,Canada Brand #5 - Sports verified,
,,Lizaro,https://www.topendsports.com/sport/betting/canada/lizaro-review.htm,Lizaro Sport Review,Tom Goldsmith,Not Started,Medium,,,,lizaro sport,,PHASE 1,Canada Brand #6 - Sports verified,
